#***********************************************************
# name  file_location  xspb/lumipb  otherscale nMCevents       nMCNegEvents    colorcode       stackit
#***********************************************************
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/Summer16_ST_s_channel_4f_leptonDecays.root			     11.36   1 999976.0  188501.0 592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/Summer16_ST_t_channel_antitop_4f_inclusiveDecays_TuneCUETP8M2T4.root  80.95   1 3927980.0 0.0 	  592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/Summer16_ST_t_channel_top_4f_inclusiveDecays_TuneCUETP8M2T4.root	     136.02  1 5993570.0 0.0 	  592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/TTTo2L2Nu_powheg_pythia8.root						     86.99   1 1	 0.0	  592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/TTToSemilepton_powheg.root					     364.3   1 91832423. 0.0 	  592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/TTWJetsToLNu.root						     0.2043  1 5280251.0 1282079. 592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/TTWJetsToQQ.root							     0.4062  1 833257.0	 201483.0 592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/TTZToLLNuNu_M-10.root						     0.2529  1 7969186.0 2126557. 592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/TTZToQQ.root							     0.5297  1 749367.0	 199113.0 592 1
#***********************************************************
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_100To200_13TeV.root   1627.45   1   79165703  0  924 1
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_200To400_13TeV.root   435.24 	  1   38925816	0  924 1
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_400To600_13TeV.root 	59.18 	  1   7754252	0  924 1
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_600To800_13TeV.root 	14.58 	  1   18578604	0  924 1
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_800To1200_13TeV.root 	6.656 	  1   7688957	0  924 1
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_1200To2500_13TeV.root 1.60809   1   6708656	0  924 1
WJets   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WJetsToLNu_HT_2500ToInf_13TeV.root 	0.0389136 1   2520618	0  924 1
